"sid","type","acc","roi"
1,"ntnt",0.721371753,"rlpfc"
1,"ss",0.6712325485,"rlpfc"
2,"ntnt",0.68421875,"rlpfc"
2,"ss",0.47634375,"rlpfc"
3,"ntnt",0.72,"rlpfc"
3,"ss",0.7185357145,"rlpfc"
4,"ntnt",0.85434375,"rlpfc"
4,"ss",0.521375,"rlpfc"
5,"ntnt",0.810938447,"rlpfc"
5,"ss",0.4564839015,"rlpfc"
6,"ntnt",0.596819853,"rlpfc"
6,"ss",0.6568492645,"rlpfc"
7,"ntnt",0.624375,"rlpfc"
7,"ss",0.54415625,"rlpfc"
8,"ntnt",0.726334592,"rlpfc"
8,"ss",0.8653340275,"rlpfc"
9,"ntnt",0.6990714285,"rlpfc"
9,"ss",0.4081785715,"rlpfc"
10,"ntnt",0.99659375,"rlpfc"
10,"ss",0.48234375,"rlpfc"
11,"ntnt",0.557733766,"rlpfc"
11,"ss",0.682086039,"rlpfc"
12,"ntnt",0.4507256195,"rlpfc"
12,"ss",0.51972233,"rlpfc"
13,"ntnt",0.68646875,"rlpfc"
13,"ss",0.82178125,"rlpfc"
14,"ntnt",0.7237789005,"rlpfc"
14,"ss",0.5081898495,"rlpfc"
15,"ntnt",0.57353125,"rlpfc"
15,"ss",0.712625,"rlpfc"
16,"ntnt",0.825375,"rlpfc"
16,"ss",0.69428125,"rlpfc"
17,"ntnt",0.84228125,"rlpfc"
17,"ss",0.761625,"rlpfc"
18,"ntnt",0.633955357,"rlpfc"
18,"ss",0.544136905,"rlpfc"
19,"ntnt",0.544555147,"rlpfc"
19,"ss",0.4792058825,"rlpfc"
20,"ntnt",0.676690705,"rlpfc"
20,"ss",0.7940633015,"rlpfc"
21,"ntnt",0.999833333,"rlpfc"
21,"ss",0.729166667,"rlpfc"
22,"ntnt",0.55153125,"rlpfc"
22,"ss",0.6299857955,"rlpfc"
23,"ntnt",0.84671875,"rlpfc"
23,"ss",0.6433125,"rlpfc"
24,"ntnt",0.71790625,"rlpfc"
24,"ss",0.49815625,"rlpfc"
1,"ss",0.467032967,"rHC"
2,"ss",0.773684211,"rHC"
3,"ss",0.537785714,"rHC"
4,"ss",0.7125,"rHC"
5,"ss",0.78125,"rHC"
6,"ss",0.563625,"rHC"
7,"ss",0.491013072,"rHC"
8,"ss",0.553571429,"rHC"
9,"ss",0.654528478,"rHC"
10,"ss",0.543972332,"rHC"
11,"ss",0.524038462,"rHC"
12,"ss",0.6875,"rHC"
13,"ss",0.5391875,"rHC"
14,"ss",0.637987013,"rHC"
15,"ss",0.55,"rHC"
16,"ss",0.625,"rHC"
17,"ss",0.458333333,"rHC"
18,"ss",0.547875,"rHC"
19,"ss",0.6125,"rHC"
20,"ss",0.570512821,"rHC"
21,"ss",0.551515152,"rHC"
22,"ss",0.658333333,"rHC"
23,"ss",0.653947368,"rHC"
24,"ss",0.322610294,"rHC"
1,"ss",0.754807692,"lM1"
2,"ss",0.56043956,"lM1"
3,"ss",0.607142857,"lM1"
4,"ss",0.583333333,"lM1"
5,"ss",0.599358974,"lM1"
6,"ss",0.543956044,"lM1"
7,"ss",0.713141026,"lM1"
8,"ss",0.60620915,"lM1"
9,"ss",0.693877551,"lM1"
10,"ss",0.727272727,"lM1"
11,"ss",0.5125,"lM1"
12,"ss",0.5625,"lM1"
13,"ss",0.955208333,"lM1"
14,"ss",0.785714286,"lM1"
15,"ss",0.513095238,"lM1"
16,"ss",0.61547619,"lM1"
17,"ss",0.804945055,"lM1"
18,"ss",0.275,"lM1"
19,"ss",0.638257576,"lM1"
20,"ss",0.522727273,"lM1"
21,"ss",0.404761905,"lM1"
22,"ss",0.715131579,"lM1"
23,"ss",0.648391813,"lM1"
24,"ss",0.6625,"lM1"
1,"ntnt",0.582417582,"rHC"
2,"ntnt",0.589473684,"rHC"
3,"ntnt",0.426428571,"rHC"
4,"ntnt",0.5,"rHC"
5,"ntnt",0.46875,"rHC"
6,"ntnt",0.4638125,"rHC"
7,"ntnt",0.513071895,"rHC"
8,"ntnt",0.5,"rHC"
9,"ntnt",0.781512605,"rHC"
10,"ntnt",0.816558442,"rHC"
11,"ntnt",0.581730769,"rHC"
12,"ntnt",0.625,"rHC"
13,"ntnt",0.58675,"rHC"
14,"ntnt",0.641071429,"rHC"
15,"ntnt",0.725,"rHC"
16,"ntnt",0.625,"rHC"
17,"ntnt",0.578571429,"rHC"
18,"ntnt",0.441875,"rHC"
19,"ntnt",0.825,"rHC"
20,"ntnt",0.536858974,"rHC"
21,"ntnt",0.645454545,"rHC"
22,"ntnt",0.763095238,"rHC"
23,"ntnt",0.508552632,"rHC"
24,"ntnt",0.566176471,"rHC"
1,"ntnt",0.58974359,"lM1"
2,"ntnt",0.575549451,"lM1"
3,"ntnt",0.25,"lM1"
4,"ntnt",0.416666667,"lM1"
5,"ntnt",0.584935897,"lM1"
6,"ntnt",0.48489011,"lM1"
7,"ntnt",0.612179487,"lM1"
8,"ntnt",0.395424837,"lM1"
9,"ntnt",0.489795918,"lM1"
10,"ntnt",0.686363636,"lM1"
11,"ntnt",0.553125,"lM1"
12,"ntnt",0.3125,"lM1"
13,"ntnt",0.469791667,"lM1"
14,"ntnt",0.410714286,"lM1"
15,"ntnt",0.555952381,"lM1"
16,"ntnt",0.517857143,"lM1"
17,"ntnt",0.449175824,"lM1"
18,"ntnt",0.475,"lM1"
19,"ntnt",0.541666667,"lM1"
20,"ntnt",0.53030303,"lM1"
21,"ntnt",0.393772894,"lM1"
22,"ntnt",0.579605263,"lM1"
23,"ntnt",0.540935673,"lM1"
24,"ntnt",0.5875,"lM1"
