"sid","roi","modality","X0s","X2s","X4s","X6s","X8s","X10s","PSC"
1,"rHC","No-Think",0,-0.093648845,-0.383286109,-0.082351827,0.382283409,0.521700148,-0.186428927
2,"rHC","No-Think",0,0.121634307,-0.087840258,-0.031371411,-0.060539997,-0.112471537,0.000807545999999992
3,"rHC","No-Think",0,0.095264658,-0.01145886,0.121170264,0.104623694,0.091562737,0.068325354
4,"rHC","No-Think",0,-0.099491834,-0.014578154,-0.072519885,-0.128859835,-0.03740092,-0.0621966243333333
5,"rHC","No-Think",0,-0.547164615,-0.594548308,-0.370022648,-0.727287375,-0.403423891,-0.503911857
6,"rHC","No-Think",0,-0.02963594,-0.021221613,-0.038933796,0.119836077,-0.05384962,-0.0299304496666667
7,"rHC","No-Think",0,-0.084058405,-0.251407194,-0.14230389,-0.07800926,-0.150062871,-0.159256496333333
8,"rHC","No-Think",0,-0.380743576,-0.521717282,-0.547746398,-0.372086449,-0.279344233,-0.483402418666667
9,"rHC","No-Think",0,-0.071283518,0.008308559,-0.112759718,-0.04293544,0.006824257,-0.0585782256666667
10,"rHC","No-Think",0,-0.139896636,-0.188779287,-0.018511118,-0.097943122,-0.123582544,-0.115729013666667
11,"rHC","No-Think",0,-0.410379556,-0.189056336,0.149487708,0.313389222,0.243952251,-0.149982728
12,"rHC","No-Think",0,-0.075104236,-0.281598904,-0.264326268,-0.166703418,-0.264883693,-0.207009802666667
13,"rHC","No-Think",0,-0.078548365,-0.161627701,-0.066489915,-0.049539231,-0.047584584,-0.102221993666667
14,"rHC","No-Think",0,-0.192664831,-0.00829785,0.12980937,0.083222705,-0.132556679,-0.0237177703333333
15,"rHC","No-Think",0,-0.00231363900000002,-0.108494316,-0.107472004,0.013003357,0.040057921,-0.0727599863333333
16,"rHC","No-Think",0,-0.44480196,-0.078201104,0.109215251,-0.03500654,-0.264489557,-0.137929271
17,"rHC","No-Think",0,-0.134718398,-0.240262519,-0.035982134,0.01282888,0.090005295,-0.136987683666667
18,"rHC","No-Think",0,-0.008012728,-0.028072631,-0.023776742,-0.076530636,-0.089749491,-0.0199540336666667
19,"rHC","No-Think",0,0.053922818,0.185458329,0.231632622,0.077775282,0.199851352,0.157004589666667
20,"rHC","No-Think",0,-0.099607176,-0.049001154,0.056258096,0.041959046,-0.015862363,-0.0307834113333333
21,"rHC","No-Think",0,-0.036046414,-0.147827237,-0.379064078,-0.147442474,0.056725446,-0.187645909666667
22,"rHC","No-Think",0,0.027078787,0.239806944,0.281021296,-0.119711648,-0.00741372299999998,0.182635675666667
23,"rHC","No-Think",0,-0.152999179,-0.313226914,-0.2968065,-0.136317914,-0.026208121,-0.254344197666667
24,"rHC","No-Think",0,-0.100794158,-0.211731196,-0.037429054,0.131359157,0.046241362,-0.116651469333333
1,"rHC","Stop",0,0.073960586,-0.070454954,-0.394078819,-0.268115746,-0.00185372200000003,-0.130191062333333
2,"rHC","Stop",0,0.251735292,0.113929394,-0.017081055,-0.2000338,-0.073011186,0.116194543666667
3,"rHC","Stop",0,0.061477892,0.019093903,-0.052191982,-0.043006219,-0.00096601100000001,0.00945993766666666
4,"rHC","Stop",0,0.197805386,0.202336236,0.071861911,0.057587416,0.167989427,0.157334511
5,"rHC","Stop",0,0.229306919,0.217507107,-0.063966293,0.215112357,0.00578750299999997,0.127615911
6,"rHC","Stop",0,-0.086286758,-0.250756802,-0.291578097,-0.189226944,0.016766987,-0.209540552333333
7,"rHC","Stop",0,-0.00463682600000002,-0.085413819,-0.068434994,-0.309248111,-0.218440974,-0.0528285463333333
8,"rHC","Stop",0,0.017300552,-0.376896139,-0.325111874,-0.091096048,0.075215903,-0.228235820333333
9,"rHC","Stop",0,-0.133672496,-0.422014553,-0.38751011,-0.525902956,-0.306634102,-0.314399053
10,"rHC","Stop",0,0.03314422,-0.126339303,-0.139019838,-0.205797847,0.042007357,-0.0774049736666667
11,"rHC","Stop",0,0.054627082,-0.016830372,-0.142791415,0.073254151,0.224268125,-0.034998235
12,"rHC","Stop",0,0.016014327,0.00350800799999999,-0.318852737,-0.089942929,-0.134162357,-0.0997768006666667
13,"rHC","Stop",0,0.167927495,-0.266154227,-0.023733781,-0.080085453,-0.047729789,-0.0406535043333333
14,"rHC","Stop",0,0.415915612,0.068514047,-0.213575428,0.029584046,0.170858068,0.0902847436666667
15,"rHC","Stop",0,0.164133927,0.178709027,0.057136859,0.084781954,0.163729833,0.133326604333333
16,"rHC","Stop",0,-0.113040734,-0.37201241,-0.190958948,-0.068851054,0.081758216,-0.225337364
17,"rHC","Stop",0,0.048729571,0.011148902,-0.167647152,-0.041962255,-0.125941203,-0.035922893
18,"rHC","Stop",0,-0.00100820700000002,0.227040859,0.099083227,-0.23521216,-0.085086585,0.108371959666667
19,"rHC","Stop",0,-0.09094848,-0.230045521,-0.079797042,-0.030583892,-0.046880621,-0.133597014333333
20,"rHC","Stop",0,-0.16001172,-0.013115838,-0.084480453,-0.017285942,0.085579221,-0.085869337
21,"rHC","Stop",0,0.087429659,0.015463287,-0.158452711,-0.216942204,-0.021749979,-0.0185199216666667
22,"rHC","Stop",0,0.132356188,0.150578665,-0.202770291,-0.008675209,0.44487522,0.0267215206666667
23,"rHC","Stop",0,0.102549452,-0.132349724,-0.093360024,-0.118606377,-0.250067251,-0.041053432
24,"rHC","Stop",0,0.047929179,0.055880922,-0.074682175,0.00630467800000001,-0.029250826,0.00970930866666667
1,"lM1","No-Think",0,0.027856879,-0.180261714,-0.00479396299999998,0.207666243,0.400340855,-0.0523995993333333
2,"lM1","No-Think",0,0.093152339,0.116989133,0.075986724,0.027362189,0.158687341,0.0953760653333333
3,"lM1","No-Think",0,-0.116680671,0.062411959,0.206011225,0.146910292,0.037513934,0.0505808376666667
4,"lM1","No-Think",0,-0.040731034,0.127185924,0.231852055,0.186190903,0.247863605,0.106102315
5,"lM1","No-Think",0,-0.129134263,-0.144338797,-0.150972691,0.02340392,0.171340607,-0.141481917
6,"lM1","No-Think",0,-0.040127763,-0.015711572,-0.069021874,-0.092103284,-0.112247052,-0.041620403
7,"lM1","No-Think",0,-0.012480759,-0.090541916,0.023690502,0.089572624,0.034607626,-0.0264440576666667
8,"lM1","No-Think",0,-0.018946944,0.017902597,-0.011946339,-0.014553379,0.035514403,-0.00433022866666666
9,"lM1","No-Think",0,-0.189206713,-0.248841597,0.079977574,0.288195165,0.383087504,-0.119356912
10,"lM1","No-Think",0,-0.031449422,0.031244933,0.208821275,0.285410926,0.266086687,0.0695389286666667
11,"lM1","No-Think",0,-0.203338671,-0.354345048,-0.210606664,0.167504953,0.198019663,-0.256096794333333
12,"lM1","No-Think",0,0.061841518,-0.020908255,-0.054207012,0.151918187,0.024058423,-0.00442458299999999
13,"lM1","No-Think",0,-0.107861452,-0.134133282,-0.058495354,0.234302117,0.426874528,-0.100163362666667
14,"lM1","No-Think",0,-0.052944933,0.163709033,0.084111003,0.158518482,0.138831158,0.0649583676666667
15,"lM1","No-Think",0,0.068394097,0.04603247,-0.010746336,-0.054578088,-0.050716489,0.034560077
16,"lM1","No-Think",0,-0.123940319,-0.045319255,-0.039779761,0.045390748,0.002314763,-0.0696797783333333
17,"lM1","No-Think",0,-0.166767826,0.028002937,0.197245914,0.172573042,0.15299589,0.019493675
18,"lM1","No-Think",0,-0.039288999,-0.114643133,0.00746488199999998,0.036924581,-0.060809544,-0.0488224166666667
19,"lM1","No-Think",0,0.078590664,0.226385356,0.152330853,0.196649575,0.275493861,0.152435624333333
20,"lM1","No-Think",0,-0.036365196,-0.080538648,-0.069980613,-0.00905372699999999,-0.079290806,-0.062294819
21,"lM1","No-Think",0,0.021566991,-0.015420359,-0.028549332,0.14289291,0.086298452,-0.00746756666666668
22,"lM1","No-Think",0,-0.121083057,0.320229709,0.361643682,0.350112531,0.360220302,0.186930111333333
23,"lM1","No-Think",0,-0.224978069,-0.216296928,-0.096370158,0.149364696,0.294609137,-0.179215051666667
24,"lM1","No-Think",0,-0.00477291000000002,-0.063568711,0.077579124,0.056695747,0.182420432,0.00307916766666666
1,"lM1","Stop",0,-0.25753133,-0.560755285,-0.330311808,-0.160425229,0.00426295999999999,-0.382866141
2,"lM1","Stop",0,-0.167367451,-0.207141703,0.105236887,-0.021440171,-0.024776249,-0.0897574223333333
3,"lM1","Stop",0,-0.182579604,-0.598835363,-0.287104068,-0.104351689,-0.231557857,-0.356173011666667
